SUPPLIER_ID,INDUSTRY,REGION,TIER,WEEK_START,YEAR,ON_TIME_DELIVERY,DEFECT_RATE,LEAD_TIME_DAYS,ORDERS_PLACED,SPEND,SCORE
SUP1001,Healthcare,Latin America,Tier 3,2022-01-03,2022,0.8886,0.0571,21,8,28444.0,72.0
SUP1001,Healthcare,Latin America,Tier 3,2022-01-17,2022,0.8764,0.077,16,22,12117.0,68.1
SUP1001,Healthcare,Latin America,Tier 3,2022-01-31,2022,0.8471,0.0611,17,17,12017.0,72.5
SUP1001,Healthcare,Latin America,Tier 3,2022-02-14,2022,0.8704,0.0607,15,14,34874.0,73.6
SUP1001,Healthcare,Latin America,Tier 3,2022-02-28,2022,0.8771,0.0838,20,12,5064.0,63.2
SUP1001,Healthcare,Latin America,Tier 3,2022-03-14,2022,0.8372,0.0537,19,17,24004.0,73.4
SUP1001,Healthcare,Latin America,Tier 3,2022-03-28,2022,0.8738,0.0679,20,23,31784.0,68.7
SUP1001,Healthcare,Latin America,Tier 3,2022-04-11,2022,0.8402,0.0635,17,21,19072.0,71.4
SUP1001,Healthcare,Latin America,Tier 3,2022-04-25,2022,0.8655,0.0607,20,4,47557.0,70.9
SUP1001,Healthcare,Latin America,Tier 3,2022-05-09,2022,0.8668,0.06,19,16,9078.0,72.4
SUP1001,Healthcare,Latin America,Tier 3,2022-05-23,2022,0.8166,0.0817,14,23,52696.0,64.1
SUP1001,Healthcare,Latin America,Tier 3,2022-06-06,2022,0.798,0.0494,19,8,16757.0,73.3
SUP1001,Healthcare,Latin America,Tier 3,2022-06-20,2022,0.8717,0.0634,13,12,10289.0,72.7
SUP1001,Healthcare,Latin America,Tier 3,2022-07-04,2022,0.8419,0.0801,18,24,44521.0,65.6
SUP1001,Healthcare,Latin America,Tier 3,2022-07-18,2022,0.8642,0.058,19,24,8630.0,73.0
SUP1001,Healthcare,Latin America,Tier 3,2022-08-01,2022,0.8029,0.0674,18,15,6490.0,68.5
SUP1001,Healthcare,Latin America,Tier 3,2022-08-15,2022,0.9126,0.0585,12,14,7284.0,76.0
SUP1001,Healthcare,Latin America,Tier 3,2022-08-29,2022,0.878,0.0728,18,7,33391.0,69.6
SUP1001,Healthcare,Latin America,Tier 3,2022-09-12,2022,0.8698,0.0716,18,16,15580.0,69.7
SUP1001,Healthcare,Latin America,Tier 3,2022-09-26,2022,0.8843,0.0987,15,11,21245.0,60.8
SUP1001,Healthcare,Latin America,Tier 3,2022-10-10,2022,0.8644,0.0351,16,23,14958.0,82.3
SUP1001,Healthcare,Latin America,Tier 3,2022-10-24,2022,0.8997,0.0671,18,21,132178.0,72.5
SUP1001,Healthcare,Latin America,Tier 3,2022-11-07,2022,0.8859,0.0714,17,17,49995.0,70.4
SUP1001,Healthcare,Latin America,Tier 3,2022-11-21,2022,0.8372,0.0654,25,24,33991.0,63.6
SUP1001,Healthcare,Latin America,Tier 3,2022-12-05,2022,0.8096,0.0734,19,3,66028.0,65.4
SUP1001,Healthcare,Latin America,Tier 3,2022-12-19,2022,0.8253,0.0708,17,19,176026.0,68.2
SUP1001,Healthcare,Latin America,Tier 3,2023-01-02,2023,0.8418,0.0382,21,10,11441.0,76.7
SUP1001,Healthcare,Latin America,Tier 3,2023-01-16,2023,0.8872,0.0585,22,3,18000.0,70.5
SUP1001,Healthcare,Latin America,Tier 3,2023-01-30,2023,0.8167,0.0826,20,10,21504.0,61.3
SUP1001,Healthcare,Latin America,Tier 3,2023-02-13,2023,0.8578,0.0489,21,11,36021.0,73.6
SUP1001,Healthcare,Latin America,Tier 3,2023-02-27,2023,0.8659,0.0705,14,8,50727.0,70.0
SUP1001,Healthcare,Latin America,Tier 3,2023-03-13,2023,0.8399,0.0673,15,4,10591.0,70.0
SUP1001,Healthcare,Latin America,Tier 3,2023-03-27,2023,0.8456,0.0612,16,5,71298.0,72.4
SUP1001,Healthcare,Latin America,Tier 3,2023-04-10,2023,0.8801,0.0694,22,14,51507.0,66.4
SUP1001,Healthcare,Latin America,Tier 3,2023-04-24,2023,0.89,0.0642,17,21,22679.0,73.1
SUP1001,Healthcare,Latin America,Tier 3,2023-05-08,2023,0.8382,0.071,19,15,12625.0,67.4
SUP1001,Healthcare,Latin America,Tier 3,2023-05-22,2023,0.8519,0.0619,15,4,11611.0,72.4
SUP1001,Healthcare,Latin America,Tier 3,2023-06-05,2023,0.864,0.0415,14,11,18643.0,80.0
SUP1001,Healthcare,Latin America,Tier 3,2023-06-19,2023,0.8621,0.0518,18,10,26230.0,76.4
SUP1001,Healthcare,Latin America,Tier 3,2023-07-03,2023,0.901,0.0641,18,16,5214.0,73.6
SUP1001,Healthcare,Latin America,Tier 3,2023-07-17,2023,0.9041,0.0687,20,21,6949.0,69.6
SUP1001,Healthcare,Latin America,Tier 3,2023-07-31,2023,0.8974,0.0685,22,13,14116.0,67.4
SUP1001,Healthcare,Latin America,Tier 3,2023-08-14,2023,0.8313,0.0521,15,13,19853.0,75.0
SUP1001,Healthcare,Latin America,Tier 3,2023-08-28,2023,0.8685,0.0489,17,5,17835.0,77.6
SUP1001,Healthcare,Latin America,Tier 3,2023-09-11,2023,0.8731,0.0561,16,5,8366.0,75.3
SUP1001,Healthcare,Latin America,Tier 3,2023-09-25,2023,0.9023,0.0387,19,21,42938.0,81.2
SUP1001,Healthcare,Latin America,Tier 3,2023-10-09,2023,0.8568,0.0639,20,10,10525.0,69.4
SUP1001,Healthcare,Latin America,Tier 3,2023-10-23,2023,0.8626,0.0631,15,4,59147.0,72.4
SUP1001,Healthcare,Latin America,Tier 3,2023-11-06,2023,0.8447,0.0735,16,4,32231.0,68.1
SUP1001,Healthcare,Latin America,Tier 3,2023-11-20,2023,0.8661,0.0394,16,24,121589.0,80.9
SUP1001,Healthcare,Latin America,Tier 3,2023-12-04,2023,0.8887,0.0739,13,16,14815.0,69.7
SUP1001,Healthcare,Latin America,Tier 3,2023-12-18,2023,0.9,0.0661,17,7,71311.0,72.9
SUP1001,Healthcare,Latin America,Tier 3,2024-01-01,2024,0.8233,0.0376,16,7,9365.0,79.8
SUP1001,Healthcare,Latin America,Tier 3,2024-01-15,2024,0.8788,0.0726,21,19,90608.0,66.2
SUP1001,Healthcare,Latin America,Tier 3,2024-01-29,2024,0.8849,0.0543,20,18,8046.0,73.9
SUP1001,Healthcare,Latin America,Tier 3,2024-02-12,2024,0.8519,0.0652,17,13,5082.0,71.3
SUP1001,Healthcare,Latin America,Tier 3,2024-02-26,2024,0.8581,0.0687,14,5,32473.0,70.3
SUP1001,Healthcare,Latin America,Tier 3,2024-03-11,2024,0.8666,0.0748,24,11,23407.0,62.2
SUP1001,Healthcare,Latin America,Tier 3,2024-03-25,2024,0.8334,0.0671,19,5,102698.0,68.5
SUP1001,Healthcare,Latin America,Tier 3,2024-04-08,2024,0.8587,0.0449,16,16,9279.0,78.6
SUP1001,Healthcare,Latin America,Tier 3,2024-04-22,2024,0.8569,0.0542,16,23,17981.0,75.3
SUP1001,Healthcare,Latin America,Tier 3,2024-05-06,2024,0.8354,0.0813,14,18,13316.0,65.0
SUP1001,Healthcare,Latin America,Tier 3,2024-05-20,2024,0.8436,0.0698,15,18,9771.0,69.3
SUP1001,Healthcare,Latin America,Tier 3,2024-06-03,2024,0.8204,0.0607,19,6,59678.0,70.2
SUP1001,Healthcare,Latin America,Tier 3,2024-06-17,2024,0.8241,0.0364,16,11,47510.0,80.2
SUP1001,Healthcare,Latin America,Tier 3,2024-07-01,2024,0.8832,0.0752,12,8,15526.0,69.0
SUP1001,Healthcare,Latin America,Tier 3,2024-07-15,2024,0.8277,0.0709,18,21,60429.0,68.3
SUP1001,Healthcare,Latin America,Tier 3,2024-07-29,2024,0.8947,0.0652,19,3,10389.0,71.7
SUP1001,Healthcare,Latin America,Tier 3,2024-08-12,2024,0.9001,0.0592,14,4,38145.0,75.3
SUP1001,Healthcare,Latin America,Tier 3,2024-08-26,2024,0.8877,0.0629,18,23,35555.0,73.5
SUP1001,Healthcare,Latin America,Tier 3,2024-09-09,2024,0.8468,0.0881,18,15,24335.0,63.0
SUP1001,Healthcare,Latin America,Tier 3,2024-09-23,2024,0.8695,0.0679,15,8,43540.0,71.0
SUP1001,Healthcare,Latin America,Tier 3,2024-10-07,2024,0.819,0.0603,17,16,83204.0,71.7
SUP1001,Healthcare,Latin America,Tier 3,2024-10-21,2024,0.837,0.0946,20,7,27287.0,57.9
SUP1001,Healthcare,Latin America,Tier 3,2024-11-04,2024,0.8922,0.0519,18,23,71331.0,77.5
SUP1001,Healthcare,Latin America,Tier 3,2024-11-18,2024,0.8386,0.0832,17,9,53646.0,64.4
SUP1001,Healthcare,Latin America,Tier 3,2024-12-02,2024,0.8029,0.0561,22,21,51928.0,67.9
SUP1001,Healthcare,Latin America,Tier 3,2024-12-16,2024,0.8673,0.0595,21,13,30468.0,70.3
SUP1001,Healthcare,Latin America,Tier 3,2024-12-30,2024,0.8601,0.0517,18,12,8547.0,76.3
SUP1002,Apparel,Asia Pacific,Tier 2,2022-01-03,2022,0.8137,0.0269,41,24,62013.0,83.1
SUP1002,Apparel,Asia Pacific,Tier 2,2022-01-17,2022,0.8138,0.0451,45,5,69605.0,76.8
SUP1002,Apparel,Asia Pacific,Tier 2,2022-01-31,2022,0.9163,0.037,46,18,23454.0,83.7
SUP1002,Apparel,Asia Pacific,Tier 2,2022-02-14,2022,0.8479,0.0295,40,9,99448.0,83.6
SUP1002,Apparel,Asia Pacific,Tier 2,2022-02-28,2022,0.8542,0.0382,45,11,12622.0,80.8
SUP1002,Apparel,Asia Pacific,Tier 2,2022-03-14,2022,0.8519,0.0287,40,8,14845.0,84.0
SUP1002,Apparel,Asia Pacific,Tier 2,2022-03-28,2022,0.8594,0.0418,42,14,70978.0,79.7
SUP1002,Apparel,Asia Pacific,Tier 2,2022-04-11,2022,0.8748,0.0451,45,6,12000.0,79.2
SUP1002,Apparel,Asia Pacific,Tier 2,2022-04-25,2022,0.838,0.0408,51,10,22776.0,76.8
SUP1002,Apparel,Asia Pacific,Tier 2,2022-05-09,2022,0.8111,0.026,49,7,19802.0,81.8
SUP1002,Apparel,Asia Pacific,Tier 2,2022-05-23,2022,0.8426,0.0484,37,18,102221.0,76.8
SUP1002,Apparel,Asia Pacific,Tier 2,2022-06-06,2022,0.8594,0.0397,44,5,18888.0,80.5
SUP1002,Apparel,Asia Pacific,Tier 2,2022-06-20,2022,0.8664,0.025,47,23,12275.0,85.4
SUP1002,Apparel,Asia Pacific,Tier 2,2022-07-04,2022,0.8078,0.0349,43,21,36223.0,80.1
SUP1002,Apparel,Asia Pacific,Tier 2,2022-07-18,2022,0.8363,0.0368,45,10,41168.0,80.6
SUP1002,Apparel,Asia Pacific,Tier 2,2022-08-01,2022,0.8468,0.0341,47,19,4157.0,81.4
SUP1002,Apparel,Asia Pacific,Tier 2,2022-08-15,2022,0.7728,0.0254,48,8,61778.0,81.0
SUP1002,Apparel,Asia Pacific,Tier 2,2022-08-29,2022,0.8251,0.0337,48,21,56878.0,80.2
SUP1002,Apparel,Asia Pacific,Tier 2,2022-09-12,2022,0.8589,0.035,47,19,22782.0,81.6
SUP1002,Apparel,Asia Pacific,Tier 2,2022-09-26,2022,0.8462,0.0342,43,9,24924.0,81.9
SUP1002,Apparel,Asia Pacific,Tier 2,2022-10-10,2022,0.8668,0.0387,49,5,10935.0,79.6
SUP1002,Apparel,Asia Pacific,Tier 2,2022-10-24,2022,0.8181,0.032,45,23,9293.0,81.5
SUP1002,Apparel,Asia Pacific,Tier 2,2022-11-07,2022,0.8338,0.0448,44,15,29516.0,77.7
SUP1002,Apparel,Asia Pacific,Tier 2,2022-11-21,2022,0.8565,0.0448,46,7,4588.0,78.6
SUP1002,Apparel,Asia Pacific,Tier 2,2022-12-05,2022,0.8,0.0398,46,18,19633.0,78.1
SUP1002,Apparel,Asia Pacific,Tier 2,2022-12-19,2022,0.8441,0.0334,47,17,43147.0,81.5
SUP1002,Apparel,Asia Pacific,Tier 2,2023-01-02,2023,0.8978,0.0534,43,5,28018.0,77.2
SUP1002,Apparel,Asia Pacific,Tier 2,2023-01-16,2023,0.836,0.0284,46,15,17078.0,83.5
SUP1002,Apparel,Asia Pacific,Tier 2,2023-01-30,2023,0.8778,0.028,48,16,24668.0,84.3
SUP1002,Apparel,Asia Pacific,Tier 2,2023-02-13,2023,0.8692,0.042,45,11,20207.0,80.1
SUP1002,Apparel,Asia Pacific,Tier 2,2023-02-27,2023,0.8672,0.0472,47,6,9896.0,77.6
SUP1002,Apparel,Asia Pacific,Tier 2,2023-03-13,2023,0.8563,0.0392,48,14,66742.0,79.5
SUP1002,Apparel,Asia Pacific,Tier 2,2023-03-27,2023,0.8443,0.0249,44,18,8835.0,85.0
SUP1002,Apparel,Asia Pacific,Tier 2,2023-04-10,2023,0.8665,0.0314,43,23,15810.0,83.7
SUP1002,Apparel,Asia Pacific,Tier 2,2023-04-24,2023,0.9158,0.0313,50,3,27991.0,83.7
SUP1002,Apparel,Asia Pacific,Tier 2,2023-05-08,2023,0.835,0.0361,44,23,82154.0,80.8
SUP1002,Apparel,Asia Pacific,Tier 2,2023-05-22,2023,0.8234,0.0446,45,21,11564.0,77.3
SUP1002,Apparel,Asia Pacific,Tier 2,2023-06-05,2023,0.8776,0.0594,42,20,7037.0,74.3
SUP1002,Apparel,Asia Pacific,Tier 2,2023-06-19,2023,0.8504,0.04,46,3,6808.0,80.0
SUP1002,Apparel,Asia Pacific,Tier 2,2023-07-03,2023,0.9006,0.028,47,17,38971.0,85.7
SUP1002,Apparel,Asia Pacific,Tier 2,2023-07-17,2023,0.8359,0.0425,47,14,20830.0,78.0
SUP1002,Apparel,Asia Pacific,Tier 2,2023-07-31,2023,0.8144,0.0407,43,18,65681.0,78.3
SUP1002,Apparel,Asia Pacific,Tier 2,2023-08-14,2023,0.8061,0.0371,45,24,17101.0,79.3
SUP1002,Apparel,Asia Pacific,Tier 2,2023-08-28,2023,0.8678,0.023,41,14,52810.0,86.7
SUP1002,Apparel,Asia Pacific,Tier 2,2023-09-11,2023,0.8149,0.0278,49,11,45925.0,81.3
SUP1002,Apparel,Asia Pacific,Tier 2,2023-09-25,2023,0.8083,0.0445,43,10,30398.0,76.7
SUP1002,Apparel,Asia Pacific,Tier 2,2023-10-09,2023,0.8013,0.029,50,9,8984.0,79.9
SUP1002,Apparel,Asia Pacific,Tier 2,2023-10-23,2023,0.8495,0.0343,42,9,25957.0,82.0
SUP1002,Apparel,Asia Pacific,Tier 2,2023-11-06,2023,0.8807,0.0415,44,15,8889.0,80.7
SUP1002,Apparel,Asia Pacific,Tier 2,2023-11-20,2023,0.8045,0.033,46,10,27241.0,80.6
SUP1002,Apparel,Asia Pacific,Tier 2,2023-12-04,2023,0.8308,0.0256,50,11,57136.0,82.3
SUP1002,Apparel,Asia Pacific,Tier 2,2023-12-18,2023,0.847,0.0429,42,24,23369.0,78.9
SUP1002,Apparel,Asia Pacific,Tier 2,2024-01-01,2024,0.7985,0.0355,48,13,56478.0,78.5
SUP1002,Apparel,Asia Pacific,Tier 2,2024-01-15,2024,0.8294,0.0277,41,18,37335.0,83.5
SUP1002,Apparel,Asia Pacific,Tier 2,2024-01-29,2024,0.8565,0.0265,36,16,27660.0,85.0
SUP1002,Apparel,Asia Pacific,Tier 2,2024-02-12,2024,0.7996,0.036,42,16,113474.0,79.4
SUP1002,Apparel,Asia Pacific,Tier 2,2024-02-26,2024,0.8228,0.0441,42,21,9407.0,77.5
SUP1002,Apparel,Asia Pacific,Tier 2,2024-03-11,2024,0.8176,0.033,42,21,32644.0,81.1
SUP1002,Apparel,Asia Pacific,Tier 2,2024-03-25,2024,0.8288,0.0259,44,8,10510.0,84.1
SUP1002,Apparel,Asia Pacific,Tier 2,2024-04-08,2024,0.8632,0.0452,46,8,2240.0,78.7
SUP1002,Apparel,Asia Pacific,Tier 2,2024-04-22,2024,0.7952,0.04,49,12,43065.0,76.3
SUP1002,Apparel,Asia Pacific,Tier 2,2024-05-06,2024,0.811,0.0381,51,20,144545.0,76.7
SUP1002,Apparel,Asia Pacific,Tier 2,2024-05-20,2024,0.8385,0.0307,54,24,12553.0,79.1
SUP1002,Apparel,Asia Pacific,Tier 2,2024-06-03,2024,0.8614,0.042,44,19,25849.0,79.8
SUP1002,Apparel,Asia Pacific,Tier 2,2024-06-17,2024,0.8283,0.0335,44,19,4112.0,81.4
SUP1002,Apparel,Asia Pacific,Tier 2,2024-07-01,2024,0.8364,0.0341,44,8,4641.0,81.5
SUP1002,Apparel,Asia Pacific,Tier 2,2024-07-15,2024,0.8301,0.034,45,23,4428.0,81.3
SUP1002,Apparel,Asia Pacific,Tier 2,2024-07-29,2024,0.8557,0.0275,49,24,36794.0,83.1
SUP1002,Apparel,Asia Pacific,Tier 2,2024-08-12,2024,0.8327,0.0337,45,17,26760.0,81.5
SUP1002,Apparel,Asia Pacific,Tier 2,2024-08-26,2024,0.8664,0.0412,43,16,91822.0,80.2
SUP1002,Apparel,Asia Pacific,Tier 2,2024-09-09,2024,0.8452,0.0376,42,3,25564.0,80.6
SUP1002,Apparel,Asia Pacific,Tier 2,2024-09-23,2024,0.8614,0.0423,46,18,19755.0,79.6
SUP1002,Apparel,Asia Pacific,Tier 2,2024-10-07,2024,0.8392,0.0264,45,22,27506.0,84.3
SUP1002,Apparel,Asia Pacific,Tier 2,2024-10-21,2024,0.8502,0.0342,49,15,24026.0,80.5
SUP1002,Apparel,Asia Pacific,Tier 2,2024-11-04,2024,0.8024,0.0405,45,7,47697.0,77.9
SUP1002,Apparel,Asia Pacific,Tier 2,2024-11-18,2024,0.8289,0.0207,49,13,5039.0,84.4
SUP1002,Apparel,Asia Pacific,Tier 2,2024-12-02,2024,0.8937,0.0295,44,4,15038.0,85.4
SUP1002,Apparel,Asia Pacific,Tier 2,2024-12-16,2024,0.8765,0.0366,44,4,33708.0,82.3
SUP1002,Apparel,Asia Pacific,Tier 2,2024-12-30,2024,0.834,0.0397,50,24,96308.0,77.5
SUP1003,Industrial,Latin America,Tier 2,2022-01-03,2022,0.8245,0.0276,18,20,4530.0,77.8
SUP1003,Industrial,Latin America,Tier 2,2022-01-17,2022,0.8013,0.0302,10,8,20107.0,81.5
SUP1003,Industrial,Latin America,Tier 2,2022-01-31,2022,0.833,0.0378,6,4,50595.0,80.1
SUP1003,Industrial,Latin America,Tier 2,2022-02-14,2022,0.8321,0.0358,14,22,28948.0,80.7
SUP1003,Industrial,Latin America,Tier 2,2022-02-28,2022,0.8602,0.0326,16,10,24976.0,79.9
SUP1003,Industrial,Latin America,Tier 2,2022-03-14,2022,0.8226,0.0335,14,23,63414.0,81.2
SUP1003,Industrial,Latin America,Tier 2,2022-03-28,2022,0.8697,0.0307,15,7,3977.0,82.4
SUP1003,Industrial,Latin America,Tier 2,2022-04-11,2022,0.8699,0.0355,15,11,17633.0,80.7
SUP1003,Industrial,Latin America,Tier 2,2022-04-25,2022,0.8142,0.0345,11,16,31344.0,80.5
