SUPPLIER_ID,SUPPLIER_NAME,INDUSTRY,REGION,TIER,QUALITY_SCORE,ON_TIME_DELIVERY_BASE,DEFECT_RATE_BASE,AVG_LEAD_DAYS,ANNUAL_SPEND,SINGLE_SOURCE,CONTRACTS_ACTIVE,RISK_LEVEL
SUP1023,Industrial Supplier 24,Industrial,Asia Pacific,Tier 1,78.9,0.875,0.0374,19,646607.0,0,2,Low
SUP1024,Electronics Supplier 25,Electronics,Europe,Tier 2,82.3,0.723,0.0309,15,928538.0,1,6,Low
SUP1025,Healthcare Supplier 26,Healthcare,Asia Pacific,Tier 1,78.2,0.803,0.0406,8,202366.0,0,2,High
SUP1026,Automotive Supplier 27,Automotive,Middle East,Tier 2,73.3,0.925,0.0799,25,266326.0,0,2,High
SUP1027,Grocery Supplier 28,Grocery,Europe,Tier 3,85.4,0.923,0.0664,3,490950.0,0,3,Low
SUP1028,Apparel Supplier 29,Apparel,Asia Pacific,Tier 3,47.5,0.935,0.0379,45,175617.0,0,7,Medium
SUP1029,Healthcare Supplier 30,Healthcare,Latin America,Tier 2,92.9,0.959,0.0737,19,725320.0,0,4,Medium
SUP1030,Automotive Supplier 31,Automotive,Europe,Tier 3,85.5,0.823,0.0259,30,176836.0,0,3,Medium
SUP1031,Grocery Supplier 32,Grocery,Middle East,Tier 2,56.8,0.883,0.0319,8,267808.0,0,2,Medium
SUP1032,Healthcare Supplier 33,Healthcare,Middle East,Tier 1,79.4,0.942,0.0359,22,319292.0,1,3,Medium
SUP1033,Electronics Supplier 34,Electronics,Middle East,Tier 2,76.4,0.759,0.031,25,1934474.0,0,1,Medium
SUP1034,Automotive Supplier 35,Automotive,Europe,Tier 2,88.9,0.89,0.0783,23,5523530.0,1,5,Medium
SUP1035,Grocery Supplier 36,Grocery,Latin America,Tier 2,67.4,0.861,0.0219,4,195202.0,0,1,Low
SUP1036,Industrial Supplier 37,Industrial,Middle East,Tier 3,75.4,0.978,0.0609,10,4212074.0,0,6,Medium
SUP1037,Healthcare Supplier 38,Healthcare,Asia Pacific,Tier 2,43.4,0.835,0.0727,21,241949.0,0,1,Low
SUP1038,Automotive Supplier 39,Automotive,Middle East,Tier 2,92.4,0.964,0.0643,31,2527698.0,0,5,Low
SUP1039,Industrial Supplier 40,Industrial,Middle East,Tier 1,96.2,0.867,0.0351,16,537666.0,0,7,Medium
SUP1040,Grocery Supplier 41,Grocery,Middle East,Tier 3,83.2,0.95,0.0261,-2,48285.0,0,2,Low
SUP1041,Apparel Supplier 42,Apparel,Latin America,Tier 3,83.9,0.858,0.0499,49,846614.0,0,7,Low
SUP1042,Grocery Supplier 43,Grocery,North America,Tier 3,65.3,0.818,0.015,-5,227334.0,1,7,Low
SUP1043,Grocery Supplier 44,Grocery,Asia Pacific,Tier 3,87.4,0.875,0.0066,4,834765.0,0,5,Medium
SUP1044,Grocery Supplier 45,Grocery,Middle East,Tier 1,85.9,0.976,0.0533,5,870638.0,0,5,Medium
SUP1045,Apparel Supplier 46,Apparel,Latin America,Tier 1,82.3,0.881,0.0754,46,311065.0,0,5,High
SUP1046,Industrial Supplier 47,Industrial,Europe,Tier 1,93.0,0.94,0.0284,11,2075820.0,0,7,Low
SUP1047,Grocery Supplier 48,Grocery,Latin America,Tier 2,79.4,0.787,0.0462,9,935807.0,0,7,Medium
SUP1048,Electronics Supplier 49,Electronics,Latin America,Tier 2,84.7,0.87,0.0368,12,3606267.0,0,1,Medium
SUP1049,Grocery Supplier 50,Grocery,Europe,Tier 3,79.2,0.761,0.0329,0,1442922.0,0,5,Low
SUP1050,Industrial Supplier 51,Industrial,Middle East,Tier 3,95.6,0.808,0.068,21,381196.0,0,5,Medium
SUP1051,Apparel Supplier 52,Apparel,North America,Tier 2,68.4,0.858,0.0416,43,153446.0,0,6,Medium
SUP1052,Automotive Supplier 53,Automotive,Asia Pacific,Tier 1,66.1,0.762,0.017,27,194857.0,0,2,Medium
SUP1053,Healthcare Supplier 54,Healthcare,North America,Tier 1,60.6,0.837,0.061,5,565794.0,0,1,Low
SUP1054,Automotive Supplier 55,Automotive,Asia Pacific,Tier 3,84.0,0.787,0.0394,25,461954.0,0,1,Low
SUP1055,Apparel Supplier 56,Apparel,Middle East,Tier 3,95.7,0.885,0.0702,43,268067.0,0,3,Medium
SUP1056,Electronics Supplier 57,Electronics,Asia Pacific,Tier 3,76.0,0.956,0.0461,28,157627.0,1,3,Low
SUP1057,Grocery Supplier 58,Grocery,North America,Tier 3,81.8,0.735,0.0188,-7,243169.0,0,3,Medium
SUP1058,Automotive Supplier 59,Automotive,Europe,Tier 2,87.4,0.835,0.0163,27,327996.0,1,1,Low
SUP1059,Industrial Supplier 60,Industrial,Europe,Tier 3,65.8,0.864,0.0267,11,328230.0,0,5,Low
SUP1060,Healthcare Supplier 61,Healthcare,Europe,Tier 2,78.1,0.829,0.0695,10,287060.0,0,1,Low
SUP1061,Healthcare Supplier 62,Healthcare,Middle East,Tier 2,94.2,0.884,0.0565,21,315876.0,0,5,Medium
SUP1062,Healthcare Supplier 63,Healthcare,Latin America,Tier 2,80.7,0.807,0.0333,15,597070.0,0,5,High
SUP1063,Healthcare Supplier 64,Healthcare,Europe,Tier 2,73.3,0.938,0.0404,15,6878967.0,0,2,Low
SUP1064,Electronics Supplier 65,Electronics,Middle East,Tier 1,94.5,0.878,0.0415,23,413869.0,0,1,High
SUP1065,Healthcare Supplier 66,Healthcare,Europe,Tier 3,90.1,0.86,0.0173,6,3160767.0,0,7,Medium
SUP1066,Grocery Supplier 67,Grocery,Latin America,Tier 2,79.5,0.889,0.0655,5,37151.0,0,3,Low
SUP1067,Automotive Supplier 68,Automotive,Europe,Tier 3,77.4,0.811,0.0332,26,220880.0,1,7,High
SUP1068,Industrial Supplier 69,Industrial,North America,Tier 2,64.1,0.862,0.0314,23,1167574.0,0,6,High
SUP1069,Electronics Supplier 70,Electronics,Middle East,Tier 3,71.8,0.885,0.0687,25,66799.0,0,6,Medium
SUP1070,Apparel Supplier 71,Apparel,Middle East,Tier 2,58.5,0.807,0.0636,35,3635442.0,0,5,Medium
SUP1071,Industrial Supplier 72,Industrial,Middle East,Tier 1,75.2,0.921,0.0329,18,1335360.0,0,5,Medium
SUP1072,Electronics Supplier 73,Electronics,Middle East,Tier 2,76.6,0.849,0.04,12,528058.0,0,6,Low
SUP1073,Electronics Supplier 74,Electronics,Middle East,Tier 3,83.2,0.908,0.0788,18,746560.0,0,3,Low
SUP1074,Electronics Supplier 75,Electronics,North America,Tier 1,89.2,0.959,0.0383,19,285271.0,0,2,Low
SUP1075,Industrial Supplier 76,Industrial,North America,Tier 2,61.7,0.968,0.0577,20,379170.0,1,5,High
SUP1076,Apparel Supplier 77,Apparel,Asia Pacific,Tier 1,83.6,0.78,0.0102,46,1426270.0,1,3,Low
SUP1077,Industrial Supplier 78,Industrial,Asia Pacific,Tier 1,81.5,0.806,0.0259,21,17605.0,0,7,Low
SUP1078,Automotive Supplier 79,Automotive,Europe,Tier 2,66.0,0.919,0.0427,38,354819.0,1,2,Low
SUP1079,Healthcare Supplier 80,Healthcare,Europe,Tier 3,71.6,0.899,0.0294,14,1261854.0,0,4,Low
SUP1080,Electronics Supplier 81,Electronics,Latin America,Tier 2,64.8,0.855,0.0431,18,1800277.0,1,3,Low
SUP1081,Grocery Supplier 82,Grocery,Middle East,Tier 2,86.3,0.915,0.0497,9,1992914.0,0,7,Low
SUP1082,Apparel Supplier 83,Apparel,Europe,Tier 2,86.0,0.976,0.0702,43,570217.0,0,6,Low
SUP1083,Industrial Supplier 84,Industrial,Middle East,Tier 1,85.4,0.872,0.0256,23,318186.0,0,5,Medium
SUP1084,Apparel Supplier 85,Apparel,Asia Pacific,Tier 3,78.3,0.787,0.0162,39,94657.0,0,2,Low
SUP1085,Electronics Supplier 86,Electronics,Europe,Tier 2,79.3,0.928,0.0541,22,1468524.0,0,1,Low
SUP1086,Grocery Supplier 87,Grocery,Middle East,Tier 3,86.0,0.775,0.0621,7,1319391.0,0,7,Medium
SUP1087,Grocery Supplier 88,Grocery,Asia Pacific,Tier 2,58.1,0.859,0.0353,8,610265.0,1,7,Low
SUP1088,Grocery Supplier 89,Grocery,Middle East,Tier 3,71.1,0.878,0.0588,4,23863.0,0,2,Low
SUP1089,Apparel Supplier 90,Apparel,Asia Pacific,Tier 1,84.2,0.884,0.0143,44,1835806.0,0,4,Medium
SUP1090,Electronics Supplier 91,Electronics,Asia Pacific,Tier 1,95.5,0.868,0.0685,17,129131.0,0,3,Low
SUP1091,Electronics Supplier 92,Electronics,Asia Pacific,Tier 2,72.0,0.901,0.0772,12,446840.0,0,7,Medium
SUP1092,Healthcare Supplier 93,Healthcare,Europe,Tier 2,95.4,0.933,0.0364,18,139083.0,1,5,Low
SUP1093,Apparel Supplier 94,Apparel,North America,Tier 1,95.8,0.926,0.0635,41,397675.0,0,4,High
SUP1094,Electronics Supplier 95,Electronics,Asia Pacific,Tier 1,69.3,0.753,0.0365,21,1176930.0,0,2,Low
SUP1095,Apparel Supplier 96,Apparel,North America,Tier 3,75.4,0.859,0.0424,41,3056104.0,0,3,Low
SUP1096,Healthcare Supplier 97,Healthcare,Asia Pacific,Tier 2,72.7,0.938,0.0081,14,958306.0,0,6,Medium
SUP1097,Healthcare Supplier 98,Healthcare,Latin America,Tier 3,96.5,0.937,0.0701,5,84997.0,0,5,Low
SUP1098,Automotive Supplier 99,Automotive,Asia Pacific,Tier 3,85.7,0.821,0.08,29,639084.0,0,3,Low
SUP1099,Grocery Supplier 100,Grocery,Europe,Tier 1,90.0,0.762,0.0235,14,35328.0,1,5,Medium
SUP1100,Automotive Supplier 101,Automotive,Europe,Tier 1,67.6,0.913,0.0579,30,429869.0,0,6,Low
SUP1101,Grocery Supplier 102,Grocery,Latin America,Tier 3,81.6,0.839,0.0662,7,312611.0,0,4,Low
SUP1102,Apparel Supplier 103,Apparel,North America,Tier 3,75.5,0.798,0.0292,43,425602.0,0,6,High
SUP1103,Grocery Supplier 104,Grocery,Asia Pacific,Tier 1,77.6,0.94,0.031,8,211061.0,0,1,Low
SUP1104,Healthcare Supplier 105,Healthcare,Middle East,Tier 3,84.0,0.94,0.0485,9,366662.0,0,3,Low
SUP1105,Electronics Supplier 106,Electronics,Asia Pacific,Tier 1,76.8,0.792,0.0635,24,1028990.0,0,3,Low
SUP1106,Grocery Supplier 107,Grocery,Middle East,Tier 1,90.6,0.869,0.0057,6,598563.0,1,1,Low
SUP1107,Automotive Supplier 108,Automotive,Asia Pacific,Tier 2,77.0,0.755,0.0066,35,1791250.0,0,4,Medium
SUP1108,Grocery Supplier 109,Grocery,North America,Tier 3,92.1,0.86,0.0378,1,392256.0,0,2,Medium
SUP1109,Industrial Supplier 110,Industrial,Europe,Tier 3,98.1,0.817,0.0162,6,120935.0,1,3,High
SUP1110,Automotive Supplier 111,Automotive,Asia Pacific,Tier 2,96.4,0.764,0.0403,21,569981.0,1,4,Low
SUP1111,Automotive Supplier 112,Automotive,Latin America,Tier 2,64.2,0.933,0.0776,29,348452.0,0,3,Low
SUP1112,Healthcare Supplier 113,Healthcare,Latin America,Tier 2,65.0,0.955,0.0309,14,2557269.0,0,1,Medium
SUP1113,Healthcare Supplier 114,Healthcare,Europe,Tier 2,46.2,0.865,0.0135,9,2148785.0,0,5,Medium
SUP1114,Automotive Supplier 115,Automotive,Europe,Tier 2,94.9,0.721,0.053,21,449766.0,0,5,Medium
SUP1115,Industrial Supplier 116,Industrial,Europe,Tier 2,71.0,0.75,0.0571,23,264795.0,0,1,Medium
SUP1116,Healthcare Supplier 117,Healthcare,Middle East,Tier 2,89.7,0.741,0.029,16,124878.0,0,4,Medium
SUP1117,Automotive Supplier 118,Automotive,North America,Tier 2,78.8,0.73,0.0208,38,143976.0,1,4,Medium
SUP1118,Industrial Supplier 119,Industrial,Latin America,Tier 3,85.8,0.862,0.0072,13,514343.0,0,6,Medium
SUP1119,Industrial Supplier 120,Industrial,Middle East,Tier 1,87.9,0.889,0.0408,15,44101.0,1,3,Medium
SUP1120,Apparel Supplier 121,Apparel,Europe,Tier 2,77.9,0.929,0.0637,40,329031.0,1,5,Medium
SUP1121,Electronics Supplier 122,Electronics,Middle East,Tier 2,72.5,0.924,0.0098,24,137590.0,0,6,Low
SUP1122,Healthcare Supplier 123,Healthcare,Latin America,Tier 2,91.7,0.975,0.0522,11,146165.0,0,4,High
SUP1123,Grocery Supplier 124,Grocery,North America,Tier 3,79.1,0.934,0.0282,12,209669.0,0,2,Medium
SUP1124,Automotive Supplier 125,Automotive,Europe,Tier 3,91.5,0.856,0.0564,29,439096.0,0,7,Low
SUP1125,Grocery Supplier 126,Grocery,Latin America,Tier 3,81.6,0.955,0.0667,1,229924.0,1,1,Medium
SUP1126,Healthcare Supplier 127,Healthcare,Middle East,Tier 2,56.0,0.934,0.0731,16,1386072.0,0,4,Low
SUP1127,Grocery Supplier 128,Grocery,Latin America,Tier 2,94.9,0.892,0.0648,1,157825.0,0,1,Low
SUP1128,Healthcare Supplier 129,Healthcare,Asia Pacific,Tier 1,96.7,0.751,0.0324,11,99816.0,0,3,Medium
SUP1129,Grocery Supplier 130,Grocery,Latin America,Tier 2,94.0,0.968,0.0314,9,1572670.0,0,1,High
SUP1130,Industrial Supplier 131,Industrial,Asia Pacific,Tier 3,95.6,0.912,0.0054,11,38460.0,0,1,Low
SUP1131,Healthcare Supplier 132,Healthcare,Asia Pacific,Tier 2,76.6,0.795,0.0518,17,304272.0,0,5,Medium
SUP1132,Apparel Supplier 133,Apparel,North America,Tier 1,86.2,0.787,0.0381,43,1365523.0,0,7,Low
SUP1133,Electronics Supplier 134,Electronics,Middle East,Tier 2,70.2,0.863,0.0476,9,5796251.0,0,1,Medium
SUP1134,Healthcare Supplier 135,Healthcare,Middle East,Tier 2,87.3,0.976,0.0796,17,259264.0,0,5,Medium
SUP1135,Electronics Supplier 136,Electronics,Latin America,Tier 2,91.2,0.837,0.0385,15,130493.0,0,2,Low
SUP1136,Industrial Supplier 137,Industrial,Middle East,Tier 2,60.6,0.827,0.0503,17,24545.0,1,5,High
SUP1137,Grocery Supplier 138,Grocery,Latin America,Tier 3,82.5,0.8,0.0081,5,427055.0,1,3,Medium
SUP1138,Healthcare Supplier 139,Healthcare,Middle East,Tier 3,85.4,0.856,0.0413,14,622703.0,0,5,Medium
SUP1139,Industrial Supplier 140,Industrial,North America,Tier 3,84.8,0.933,0.0389,13,245843.0,1,5,Low
SUP1140,Electronics Supplier 141,Electronics,Middle East,Tier 2,93.4,0.864,0.0405,22,258746.0,0,3,Medium
SUP1141,Electronics Supplier 142,Electronics,Latin America,Tier 2,86.2,0.824,0.0539,25,487796.0,0,3,Medium
SUP1142,Automotive Supplier 143,Automotive,Latin America,Tier 2,91.2,0.732,0.062,25,730970.0,0,7,High
SUP1143,Healthcare Supplier 144,Healthcare,Middle East,Tier 3,76.9,0.756,0.0465,15,667674.0,1,6,Medium
SUP1144,Automotive Supplier 145,Automotive,North America,Tier 3,87.2,0.918,0.045,33,2572961.0,0,2,Low
SUP1145,Industrial Supplier 146,Industrial,Middle East,Tier 2,88.9,0.965,0.0691,15,884194.0,0,5,Low
SUP1146,Grocery Supplier 147,Grocery,Asia Pacific,Tier 3,64.5,0.878,0.0375,6,187869.0,1,7,Low
SUP1147,Industrial Supplier 148,Industrial,Europe,Tier 1,76.1,0.822,0.062,21,911062.0,1,3,Medium
SUP1148,Electronics Supplier 149,Electronics,Middle East,Tier 2,61.6,0.737,0.0471,30,133385.0,0,6,Low
SUP1149,Healthcare Supplier 150,Healthcare,Latin America,Tier 3,78.2,0.756,0.0791,13,96251.0,0,6,Medium
SUP1150,Healthcare Supplier 151,Healthcare,Middle East,Tier 2,82.5,0.951,0.049,4,3343074.0,0,3,Low
SUP1151,Grocery Supplier 152,Grocery,North America,Tier 2,64.6,0.811,0.0153,1,659485.0,0,7,Low
SUP1152,Apparel Supplier 153,Apparel,Latin America,Tier 2,89.6,0.757,0.0084,45,1629775.0,0,5,Medium
SUP1153,Grocery Supplier 154,Grocery,Asia Pacific,Tier 1,64.4,0.847,0.0052,15,6996237.0,1,7,Medium
SUP1154,Healthcare Supplier 155,Healthcare,Latin America,Tier 3,76.5,0.839,0.047,16,441699.0,0,7,Low
SUP1155,Industrial Supplier 156,Industrial,Latin America,Tier 2,87.7,0.898,0.0515,20,110064.0,0,6,High
SUP1156,Electronics Supplier 157,Electronics,North America,Tier 1,93.7,0.843,0.0442,20,177994.0,0,1,High
SUP1157,Automotive Supplier 158,Automotive,Asia Pacific,Tier 2,74.0,0.784,0.0211,35,130171.0,0,3,Medium
SUP1158,Electronics Supplier 159,Electronics,Middle East,Tier 2,71.0,0.92,0.0205,18,99713.0,0,1,Medium
SUP1159,Apparel Supplier 160,Apparel,Latin America,Tier 3,87.1,0.763,0.0598,45,839692.0,0,5,Medium
SUP1160,Grocery Supplier 161,Grocery,North America,Tier 1,63.6,0.846,0.0394,16,522794.0,0,3,High
SUP1161,Healthcare Supplier 162,Healthcare,Middle East,Tier 3,73.3,0.763,0.02,7,402135.0,0,7,Medium
SUP1162,Healthcare Supplier 163,Healthcare,Asia Pacific,Tier 3,63.6,0.949,0.0059,19,512899.0,1,6,Low
SUP1163,Healthcare Supplier 164,Healthcare,Middle East,Tier 1,56.7,0.88,0.0436,11,56018.0,0,3,Medium
SUP1164,Apparel Supplier 165,Apparel,Middle East,Tier 3,84.7,0.782,0.0466,47,253700.0,0,5,Medium
SUP1165,Apparel Supplier 166,Apparel,Middle East,Tier 1,55.6,0.787,0.0797,44,79487.0,0,7,Low
SUP1166,Grocery Supplier 167,Grocery,Asia Pacific,Tier 2,95.6,0.852,0.0064,17,110520.0,0,5,High
SUP1167,Apparel Supplier 168,Apparel,Latin America,Tier 3,85.9,0.85,0.0647,53,2096250.0,0,5,Low
SUP1168,Industrial Supplier 169,Industrial,Europe,Tier 2,97.7,0.935,0.0745,17,47202.0,0,7,High
SUP1169,Apparel Supplier 170,Apparel,Middle East,Tier 1,50.6,0.727,0.0357,52,2073800.0,0,6,Low
SUP1170,Automotive Supplier 171,Automotive,Latin America,Tier 3,84.0,0.788,0.0198,30,1571549.0,0,4,Medium
SUP1171,Electronics Supplier 172,Electronics,Asia Pacific,Tier 1,79.3,0.866,0.0521,18,859313.0,0,4,Low
SUP1172,Grocery Supplier 173,Grocery,Latin America,Tier 3,75.0,0.8,0.0667,0,125982.0,0,2,Low
SUP1173,Electronics Supplier 174,Electronics,Europe,Tier 1,79.1,0.805,0.0146,16,4964918.0,1,4,Medium
SUP1174,Automotive Supplier 175,Automotive,Middle East,Tier 2,77.1,0.797,0.0566,30,1098283.0,0,4,Low
SUP1175,Apparel Supplier 176,Apparel,Middle East,Tier 2,93.0,0.952,0.0694,37,64662.0,0,3,Low
SUP1176,Automotive Supplier 177,Automotive,North America,Tier 2,56.8,0.825,0.0252,32,416454.0,0,5,Low
SUP1177,Industrial Supplier 178,Industrial,Middle East,Tier 2,79.2,0.851,0.021,17,316800.0,1,6,Low
SUP1178,Apparel Supplier 179,Apparel,Middle East,Tier 2,81.4,0.875,0.0298,30,192346.0,1,5,Medium
SUP1179,Healthcare Supplier 180,Healthcare,North America,Tier 1,71.1,0.871,0.0547,9,542094.0,0,4,Low
SUP1180,Apparel Supplier 181,Apparel,North America,Tier 1,61.5,0.813,0.0682,43,943409.0,0,3,Low
SUP1181,Apparel Supplier 182,Apparel,Asia Pacific,Tier 1,90.1,0.941,0.0796,42,28441.0,0,2,Medium
SUP1182,Electronics Supplier 183,Electronics,Asia Pacific,Tier 2,88.1,0.72,0.0125,23,89259.0,0,4,High
SUP1183,Automotive Supplier 184,Automotive,Asia Pacific,Tier 2,81.7,0.869,0.064,35,451610.0,0,1,Low
SUP1184,Automotive Supplier 185,Automotive,Europe,Tier 2,63.8,0.76,0.0084,26,1695505.0,0,1,Low
SUP1185,Grocery Supplier 186,Grocery,Asia Pacific,Tier 1,90.8,0.929,0.0245,3,462450.0,0,2,High
SUP1186,Apparel Supplier 187,Apparel,Asia Pacific,Tier 1,78.8,0.85,0.0055,41,460489.0,0,3,Low
SUP1187,Electronics Supplier 188,Electronics,Asia Pacific,Tier 3,81.2,0.97,0.0467,28,1141446.0,0,3,Low
SUP1188,Grocery Supplier 189,Grocery,Asia Pacific,Tier 2,72.5,0.844,0.0709,3,110231.0,0,3,Low
SUP1189,Automotive Supplier 190,Automotive,Latin America,Tier 1,68.5,0.925,0.053,34,819440.0,0,2,Low
SUP1190,Industrial Supplier 191,Industrial,Asia Pacific,Tier 2,63.9,0.972,0.0373,24,455461.0,0,7,High
SUP1191,Apparel Supplier 192,Apparel,Middle East,Tier 3,91.5,0.856,0.014,39,526379.0,0,6,Medium
SUP1192,Electronics Supplier 193,Electronics,Latin America,Tier 2,90.8,0.812,0.0283,24,679771.0,0,3,Medium
SUP1193,Apparel Supplier 194,Apparel,Europe,Tier 1,54.5,0.901,0.0752,44,144439.0,1,5,Medium
SUP1194,Healthcare Supplier 195,Healthcare,Asia Pacific,Tier 3,87.4,0.925,0.0275,18,187660.0,0,5,Low
SUP1195,Apparel Supplier 196,Apparel,Middle East,Tier 2,91.8,0.937,0.0203,42,556087.0,1,2,Medium
SUP1196,Healthcare Supplier 197,Healthcare,Middle East,Tier 2,86.1,0.838,0.0507,10,317512.0,0,6,Medium
SUP1197,Industrial Supplier 198,Industrial,North America,Tier 2,94.3,0.783,0.0619,22,191871.0,0,2,Low
SUP1198,Industrial Supplier 199,Industrial,Asia Pacific,Tier 1,82.5,0.942,0.0412,23,856321.0,0,5,Low
SUP1199,Grocery Supplier 200,Grocery,Middle East,Tier 2,81.9,0.756,0.064,1,2457929.0,0,3,Medium
SUP1200,Electronics Supplier 201,Electronics,Europe,Tier 1,93.8,0.766,0.0413,18,124284.0,0,7,High
SUP1201,Automotive Supplier 202,Automotive,Middle East,Tier 2,72.0,0.806,0.0216,29,1329557.0,0,6,High
SUP1202,Electronics Supplier 203,Electronics,Middle East,Tier 2,94.2,0.856,0.0148,24,111144.0,0,7,Medium
SUP1203,Apparel Supplier 204,Apparel,Asia Pacific,Tier 2,83.2,0.938,0.0505,54,4051005.0,1,3,Low
SUP1204,Electronics Supplier 205,Electronics,Middle East,Tier 2,92.9,0.767,0.0117,24,97666.0,0,4,Low
SUP1205,Healthcare Supplier 206,Healthcare,Middle East,Tier 3,87.7,0.802,0.0581,6,113774.0,0,5,Low
SUP1206,Apparel Supplier 207,Apparel,Europe,Tier 1,87.7,0.966,0.0474,42,113208.0,0,3,High
SUP1207,Electronics Supplier 208,Electronics,North America,Tier 2,90.2,0.919,0.0656,20,302985.0,0,2,Low
SUP1208,Electronics Supplier 209,Electronics,Asia Pacific,Tier 3,84.2,0.849,0.0636,17,101317.0,1,4,Low
SUP1209,Grocery Supplier 210,Grocery,North America,Tier 2,80.6,0.898,0.0113,2,538836.0,0,7,Medium
SUP1210,Electronics Supplier 211,Electronics,North America,Tier 1,67.1,0.786,0.0188,22,248795.0,1,3,Low
SUP1211,Automotive Supplier 212,Automotive,North America,Tier 1,66.0,0.906,0.0551,33,2792881.0,0,6,Low
SUP1212,Industrial Supplier 213,Industrial,Middle East,Tier 2,68.9,0.723,0.0255,14,2855774.0,0,1,Medium
SUP1213,Automotive Supplier 214,Automotive,Middle East,Tier 1,85.3,0.801,0.0564,32,78712.0,0,5,Low
SUP1214,Apparel Supplier 215,Apparel,North America,Tier 2,93.0,0.799,0.0678,48,1424109.0,0,4,Low
SUP1215,Automotive Supplier 216,Automotive,Europe,Tier 3,60.8,0.728,0.013,37,493343.0,0,2,Low
SUP1216,Healthcare Supplier 217,Healthcare,Asia Pacific,Tier 2,83.0,0.91,0.0328,15,637083.0,1,3,Low
SUP1217,Automotive Supplier 218,Automotive,North America,Tier 1,97.1,0.777,0.0305,31,195936.0,1,1,Medium
SUP1218,Industrial Supplier 219,Industrial,Asia Pacific,Tier 2,95.9,0.952,0.0247,14,2313865.0,0,2,Low
SUP1219,Industrial Supplier 220,Industrial,Latin America,Tier 2,90.8,0.729,0.0789,15,555441.0,0,5,Low
