SKU_ID,INDUSTRY,FORECAST_DATE,FORECAST_WEEK,DEMAND_FORECAST,LOWER_BOUND,UPPER_BOUND,TREND
SKU10004,Industrial,2025-03-24,12,1495,1225,1764,6.68
SKU10005,Industrial,2025-01-06,1,1453,1191,1714,7.755
SKU10005,Industrial,2025-01-13,2,1493,1224,1761,7.755
SKU10005,Industrial,2025-01-20,3,1541,1263,1818,7.755
SKU10005,Industrial,2025-01-27,4,1448,1187,1708,7.755
SKU10005,Industrial,2025-02-03,5,1427,1170,1683,7.755
SKU10005,Industrial,2025-02-10,6,1588,1302,1873,7.755
SKU10005,Industrial,2025-02-17,7,1315,1078,1551,7.755
SKU10005,Industrial,2025-02-24,8,1429,1171,1686,7.755
SKU10005,Industrial,2025-03-03,9,1547,1268,1825,7.755
SKU10005,Industrial,2025-03-10,10,1494,1225,1762,7.755
SKU10005,Industrial,2025-03-17,11,1498,1228,1767,7.755
SKU10005,Industrial,2025-03-24,12,1635,1340,1929,7.755
SKU10006,Automotive,2025-01-06,1,992,813,1170,6.248
SKU10006,Automotive,2025-01-13,2,1059,868,1249,6.248
SKU10006,Automotive,2025-01-20,3,1120,918,1321,6.248
SKU10006,Automotive,2025-01-27,4,1120,918,1321,6.248
SKU10006,Automotive,2025-02-03,5,1018,834,1201,6.248
SKU10006,Automotive,2025-02-10,6,1037,850,1223,6.248
SKU10006,Automotive,2025-02-17,7,979,802,1155,6.248
SKU10006,Automotive,2025-02-24,8,1137,932,1341,6.248
SKU10006,Automotive,2025-03-03,9,1132,928,1335,6.248
SKU10006,Automotive,2025-03-10,10,1107,907,1306,6.248
SKU10006,Automotive,2025-03-17,11,1219,999,1438,6.248
SKU10006,Automotive,2025-03-24,12,1153,945,1360,6.248
SKU10007,Grocery,2025-01-06,1,453,371,534,1.993
SKU10007,Grocery,2025-01-13,2,436,357,514,1.993
SKU10007,Grocery,2025-01-20,3,435,356,513,1.993
SKU10007,Grocery,2025-01-27,4,451,369,532,1.993
SKU10007,Grocery,2025-02-03,5,461,378,543,1.993
SKU10007,Grocery,2025-02-10,6,473,387,558,1.993
SKU10007,Grocery,2025-02-17,7,457,374,539,1.993
SKU10007,Grocery,2025-02-24,8,519,425,612,1.993
SKU10007,Grocery,2025-03-03,9,502,411,592,1.993
SKU10007,Grocery,2025-03-10,10,476,390,561,1.993
SKU10007,Grocery,2025-03-17,11,479,392,565,1.993
SKU10007,Grocery,2025-03-24,12,482,395,568,1.993
SKU10008,Automotive,2025-01-06,1,1340,1098,1581,8.879
SKU10008,Automotive,2025-01-13,2,1362,1116,1607,8.879
SKU10008,Automotive,2025-01-20,3,1571,1288,1853,8.879
SKU10008,Automotive,2025-01-27,4,1446,1185,1706,8.879
SKU10008,Automotive,2025-02-03,5,1423,1166,1679,8.879
SKU10008,Automotive,2025-02-10,6,1346,1103,1588,8.879
SKU10008,Automotive,2025-02-17,7,1338,1097,1578,8.879
SKU10008,Automotive,2025-02-24,8,1292,1059,1524,8.879
SKU10008,Automotive,2025-03-03,9,1430,1172,1687,8.879
SKU10008,Automotive,2025-03-10,10,1512,1239,1784,8.879
SKU10008,Automotive,2025-03-17,11,1416,1161,1670,8.879
SKU10008,Automotive,2025-03-24,12,1431,1173,1688,8.879
SKU10009,Industrial,2025-01-06,1,594,487,700,2.965
SKU10009,Industrial,2025-01-13,2,609,499,718,2.965
SKU10009,Industrial,2025-01-20,3,632,518,745,2.965
SKU10009,Industrial,2025-01-27,4,642,526,757,2.965
SKU10009,Industrial,2025-02-03,5,604,495,712,2.965
SKU10009,Industrial,2025-02-10,6,674,552,795,2.965
SKU10009,Industrial,2025-02-17,7,609,499,718,2.965
SKU10009,Industrial,2025-02-24,8,609,499,718,2.965
SKU10009,Industrial,2025-03-03,9,664,544,783,2.965
SKU10009,Industrial,2025-03-10,10,667,546,787,2.965
SKU10009,Industrial,2025-03-17,11,703,576,829,2.965
SKU10009,Industrial,2025-03-24,12,714,585,842,2.965
SKU10010,Electronics,2025-01-06,1,698,572,823,2.576
SKU10010,Electronics,2025-01-13,2,700,574,826,2.576
SKU10010,Electronics,2025-01-20,3,734,601,866,2.576
SKU10010,Electronics,2025-01-27,4,721,591,850,2.576
SKU10010,Electronics,2025-02-03,5,759,622,895,2.576
SKU10010,Electronics,2025-02-10,6,713,584,841,2.576
SKU10010,Electronics,2025-02-17,7,618,506,729,2.576
SKU10010,Electronics,2025-02-24,8,693,568,817,2.576
SKU10010,Electronics,2025-03-03,9,779,638,919,2.576
SKU10010,Electronics,2025-03-10,10,735,602,867,2.576
SKU10010,Electronics,2025-03-17,11,784,642,925,2.576
SKU10010,Electronics,2025-03-24,12,683,560,805,2.576
SKU10011,Apparel,2025-01-06,1,16,13,18,-3.042
SKU10011,Apparel,2025-01-13,2,13,10,15,-3.042
SKU10011,Apparel,2025-01-20,3,11,9,12,-3.042
SKU10011,Apparel,2025-01-27,4,8,6,9,-3.042
SKU10011,Apparel,2025-02-03,5,6,4,7,-3.042
SKU10011,Apparel,2025-02-10,6,4,3,4,-3.042
SKU10011,Apparel,2025-02-17,7,2,1,2,-3.042
SKU10011,Apparel,2025-02-24,8,1,0,1,-3.042
SKU10011,Apparel,2025-03-03,9,1,0,1,-3.042
SKU10011,Apparel,2025-03-10,10,1,0,1,-3.042
SKU10011,Apparel,2025-03-17,11,1,0,1,-3.042
SKU10011,Apparel,2025-03-24,12,1,0,1,-3.042
SKU10012,Industrial,2025-01-06,1,1084,888,1279,5.161
SKU10012,Industrial,2025-01-13,2,1120,918,1321,5.161
SKU10012,Industrial,2025-01-20,3,1145,938,1351,5.161
SKU10012,Industrial,2025-01-27,4,1069,876,1261,5.161
SKU10012,Industrial,2025-02-03,5,1063,871,1254,5.161
SKU10012,Industrial,2025-02-10,6,1140,934,1345,5.161
SKU10012,Industrial,2025-02-17,7,1131,927,1334,5.161
SKU10012,Industrial,2025-02-24,8,1076,882,1269,5.161
SKU10012,Industrial,2025-03-03,9,1229,1007,1450,5.161
SKU10012,Industrial,2025-03-10,10,1189,974,1403,5.161
SKU10012,Industrial,2025-03-17,11,1175,963,1386,5.161
SKU10012,Industrial,2025-03-24,12,1112,911,1312,5.161
SKU10013,Healthcare,2025-01-06,1,567,464,669,2.467
SKU10013,Healthcare,2025-01-13,2,553,453,652,2.467
SKU10013,Healthcare,2025-01-20,3,562,460,663,2.467
SKU10013,Healthcare,2025-01-27,4,569,466,671,2.467
SKU10013,Healthcare,2025-02-03,5,558,457,658,2.467
SKU10013,Healthcare,2025-02-10,6,539,441,636,2.467
SKU10013,Healthcare,2025-02-17,7,554,454,653,2.467
SKU10013,Healthcare,2025-02-24,8,571,468,673,2.467
SKU10013,Healthcare,2025-03-03,9,554,454,653,2.467
SKU10013,Healthcare,2025-03-10,10,538,441,634,2.467
SKU10013,Healthcare,2025-03-17,11,583,478,687,2.467
SKU10013,Healthcare,2025-03-24,12,566,464,667,2.467
SKU10014,Electronics,2025-01-06,1,126,103,148,-0.383
SKU10014,Electronics,2025-01-13,2,140,114,165,-0.383
SKU10014,Electronics,2025-01-20,3,135,110,159,-0.383
SKU10014,Electronics,2025-01-27,4,133,109,156,-0.383
SKU10014,Electronics,2025-02-03,5,125,102,147,-0.383
SKU10014,Electronics,2025-02-10,6,131,107,154,-0.383
SKU10014,Electronics,2025-02-17,7,129,105,152,-0.383
SKU10014,Electronics,2025-02-24,8,126,103,148,-0.383
SKU10014,Electronics,2025-03-03,9,133,109,156,-0.383
SKU10014,Electronics,2025-03-10,10,136,111,160,-0.383
SKU10014,Electronics,2025-03-17,11,149,122,175,-0.383
SKU10014,Electronics,2025-03-24,12,136,111,160,-0.383
SKU10015,Healthcare,2025-01-06,1,152,124,179,0.244
SKU10015,Healthcare,2025-01-13,2,172,141,202,0.244
SKU10015,Healthcare,2025-01-20,3,176,144,207,0.244
SKU10015,Healthcare,2025-01-27,4,172,141,202,0.244
SKU10015,Healthcare,2025-02-03,5,161,132,189,0.244
SKU10015,Healthcare,2025-02-10,6,178,145,210,0.244
SKU10015,Healthcare,2025-02-17,7,148,121,174,0.244
SKU10015,Healthcare,2025-02-24,8,159,130,187,0.244
SKU10015,Healthcare,2025-03-03,9,164,134,193,0.244
SKU10015,Healthcare,2025-03-10,10,162,132,191,0.244
SKU10015,Healthcare,2025-03-17,11,176,144,207,0.244
SKU10015,Healthcare,2025-03-24,12,147,120,173,0.244
SKU10016,Healthcare,2025-01-06,1,314,257,370,1.175
SKU10016,Healthcare,2025-01-13,2,288,236,339,1.175
SKU10016,Healthcare,2025-01-20,3,318,260,375,1.175
SKU10016,Healthcare,2025-01-27,4,307,251,362,1.175
SKU10016,Healthcare,2025-02-03,5,299,245,352,1.175
SKU10016,Healthcare,2025-02-10,6,292,239,344,1.175
SKU10016,Healthcare,2025-02-17,7,271,222,319,1.175
SKU10016,Healthcare,2025-02-24,8,311,255,366,1.175
SKU10016,Healthcare,2025-03-03,9,296,242,349,1.175
SKU10016,Healthcare,2025-03-10,10,308,252,363,1.175
SKU10016,Healthcare,2025-03-17,11,295,241,348,1.175
SKU10016,Healthcare,2025-03-24,12,314,257,370,1.175
SKU10017,Electronics,2025-01-06,1,191,156,225,0.717
SKU10017,Electronics,2025-01-13,2,190,155,224,0.717
SKU10017,Electronics,2025-01-20,3,170,139,200,0.717
SKU10017,Electronics,2025-01-27,4,205,168,241,0.717
SKU10017,Electronics,2025-02-03,5,163,133,192,0.717
SKU10017,Electronics,2025-02-10,6,178,145,210,0.717
SKU10017,Electronics,2025-02-17,7,164,134,193,0.717
SKU10017,Electronics,2025-02-24,8,184,150,217,0.717
SKU10017,Electronics,2025-03-03,9,204,167,240,0.717
SKU10017,Electronics,2025-03-10,10,198,162,233,0.717
SKU10017,Electronics,2025-03-17,11,198,162,233,0.717
SKU10017,Electronics,2025-03-24,12,176,144,207,0.717
SKU10018,Automotive,2025-01-06,1,1421,1165,1676,8.57
SKU10018,Automotive,2025-01-13,2,1404,1151,1656,8.57
SKU10018,Automotive,2025-01-20,3,1318,1080,1555,8.57
SKU10018,Automotive,2025-01-27,4,1549,1270,1827,8.57
SKU10018,Automotive,2025-02-03,5,1415,1160,1669,8.57
SKU10018,Automotive,2025-02-10,6,1464,1200,1727,8.57
SKU10018,Automotive,2025-02-17,7,1523,1248,1797,8.57
SKU10018,Automotive,2025-02-24,8,1367,1120,1613,8.57
SKU10018,Automotive,2025-03-03,9,1494,1225,1762,8.57
SKU10018,Automotive,2025-03-10,10,1573,1289,1856,8.57
SKU10018,Automotive,2025-03-17,11,1366,1120,1611,8.57
SKU10018,Automotive,2025-03-24,12,1551,1271,1830,8.57
SKU10019,Automotive,2025-01-06,1,387,317,456,2.689
SKU10019,Automotive,2025-01-13,2,424,347,500,2.689
SKU10019,Automotive,2025-01-20,3,418,342,493,2.689
SKU10019,Automotive,2025-01-27,4,405,332,477,2.689
SKU10019,Automotive,2025-02-03,5,409,335,482,2.689
SKU10019,Automotive,2025-02-10,6,394,323,464,2.689
SKU10019,Automotive,2025-02-17,7,437,358,515,2.689
SKU10019,Automotive,2025-02-24,8,391,320,461,2.689
SKU10019,Automotive,2025-03-03,9,451,369,532,2.689
SKU10019,Automotive,2025-03-10,10,432,354,509,2.689
SKU10019,Automotive,2025-03-17,11,456,373,538,2.689
SKU10019,Automotive,2025-03-24,12,437,358,515,2.689
SKU10020,Automotive,2025-01-06,1,133,109,156,-0.942
SKU10020,Automotive,2025-01-13,2,126,103,148,-0.942
SKU10020,Automotive,2025-01-20,3,125,102,147,-0.942
SKU10020,Automotive,2025-01-27,4,137,112,161,-0.942
SKU10020,Automotive,2025-02-03,5,122,100,143,-0.942
SKU10020,Automotive,2025-02-10,6,118,96,139,-0.942
SKU10020,Automotive,2025-02-17,7,128,104,151,-0.942
SKU10020,Automotive,2025-02-24,8,115,94,135,-0.942
SKU10020,Automotive,2025-03-03,9,123,100,145,-0.942
SKU10020,Automotive,2025-03-10,10,130,106,153,-0.942
SKU10020,Automotive,2025-03-17,11,126,103,148,-0.942
SKU10020,Automotive,2025-03-24,12,121,99,142,-0.942
SKU10021,Healthcare,2025-01-06,1,6,4,7,-2.701
SKU10021,Healthcare,2025-01-13,2,3,2,3,-2.701
SKU10021,Healthcare,2025-01-20,3,1,0,1,-2.701
SKU10021,Healthcare,2025-01-27,4,1,0,1,-2.701
SKU10021,Healthcare,2025-02-03,5,1,0,1,-2.701
SKU10021,Healthcare,2025-02-10,6,1,0,1,-2.701
SKU10021,Healthcare,2025-02-17,7,1,0,1,-2.701
SKU10021,Healthcare,2025-02-24,8,1,0,1,-2.701
SKU10021,Healthcare,2025-03-03,9,1,0,1,-2.701
SKU10021,Healthcare,2025-03-10,10,1,0,1,-2.701
SKU10021,Healthcare,2025-03-17,11,1,0,1,-2.701
SKU10021,Healthcare,2025-03-24,12,1,0,1,-2.701
SKU10022,Grocery,2025-01-06,1,527,432,621,2.256
SKU10022,Grocery,2025-01-13,2,485,397,572,2.256
SKU10022,Grocery,2025-01-20,3,575,471,678,2.256
SKU10022,Grocery,2025-01-27,4,531,435,626,2.256
SKU10022,Grocery,2025-02-03,5,529,433,624,2.256
SKU10022,Grocery,2025-02-10,6,559,458,659,2.256
SKU10022,Grocery,2025-02-17,7,580,475,684,2.256
SKU10022,Grocery,2025-02-24,8,571,468,673,2.256
SKU10022,Grocery,2025-03-03,9,540,442,637,2.256
SKU10022,Grocery,2025-03-10,10,528,432,623,2.256
SKU10022,Grocery,2025-03-17,11,557,456,657,2.256
SKU10022,Grocery,2025-03-24,12,569,466,671,2.256
SKU10023,Electronics,2025-01-06,1,932,764,1099,3.611
SKU10023,Electronics,2025-01-13,2,956,783,1128,3.611
SKU10023,Electronics,2025-01-20,3,859,704,1013,3.611
SKU10023,Electronics,2025-01-27,4,998,818,1177,3.611
SKU10023,Electronics,2025-02-03,5,907,743,1070,3.611
SKU10023,Electronics,2025-02-10,6,976,800,1151,3.611
SKU10023,Electronics,2025-02-17,7,924,757,1090,3.611
SKU10023,Electronics,2025-02-24,8,826,677,974,3.611
SKU10023,Electronics,2025-03-03,9,965,791,1138,3.611
SKU10023,Electronics,2025-03-10,10,918,752,1083,3.611
SKU10023,Electronics,2025-03-17,11,1009,827,1190,3.611
SKU10023,Electronics,2025-03-24,12,928,760,1095,3.611
SKU10024,Healthcare,2025-01-06,1,1,0,1,-1.967
SKU10024,Healthcare,2025-01-13,2,1,0,1,-1.967
SKU10024,Healthcare,2025-01-20,3,1,0,1,-1.967
SKU10024,Healthcare,2025-01-27,4,1,0,1,-1.967
SKU10024,Healthcare,2025-02-03,5,1,0,1,-1.967
SKU10024,Healthcare,2025-02-10,6,1,0,1,-1.967
SKU10024,Healthcare,2025-02-17,7,1,0,1,-1.967
SKU10024,Healthcare,2025-02-24,8,1,0,1,-1.967
SKU10024,Healthcare,2025-03-03,9,1,0,1,-1.967
SKU10024,Healthcare,2025-03-10,10,1,0,1,-1.967
SKU10024,Healthcare,2025-03-17,11,1,0,1,-1.967
SKU10024,Healthcare,2025-03-24,12,1,0,1,-1.967
SKU10025,Grocery,2025-01-06,1,819,671,966,3.787
SKU10025,Grocery,2025-01-13,2,783,642,923,3.787
SKU10025,Grocery,2025-01-20,3,786,644,927,3.787
SKU10025,Grocery,2025-01-27,4,818,670,965,3.787
SKU10025,Grocery,2025-02-03,5,794,651,936,3.787
SKU10025,Grocery,2025-02-10,6,821,673,968,3.787
SKU10025,Grocery,2025-02-17,7,793,650,935,3.787
SKU10025,Grocery,2025-02-24,8,891,730,1051,3.787
SKU10025,Grocery,2025-03-03,9,757,620,893,3.787
SKU10025,Grocery,2025-03-10,10,830,680,979,3.787
SKU10025,Grocery,2025-03-17,11,900,738,1062,3.787
SKU10025,Grocery,2025-03-24,12,960,787,1132,3.787
SKU10026,Healthcare,2025-01-06,1,2525,2070,2979,11.841
SKU10026,Healthcare,2025-01-13,2,2579,2114,3043,11.841
SKU10026,Healthcare,2025-01-20,3,2375,1947,2802,11.841
SKU10026,Healthcare,2025-01-27,4,2442,2002,2881,11.841
SKU10026,Healthcare,2025-02-03,5,2554,2094,3013,11.841
SKU10026,Healthcare,2025-02-10,6,2688,2204,3171,11.841
SKU10026,Healthcare,2025-02-17,7,2446,2005,2886,11.841
SKU10026,Healthcare,2025-02-24,8,2578,2113,3042,11.841
SKU10026,Healthcare,2025-03-03,9,2569,2106,3031,11.841
SKU10026,Healthcare,2025-03-10,10,2445,2004,2885,11.841
SKU10026,Healthcare,2025-03-17,11,2460,2017,2902,11.841
SKU10026,Healthcare,2025-03-24,12,2447,2006,2887,11.841
SKU10027,Automotive,2025-01-06,1,126,103,148,-0.181
SKU10027,Automotive,2025-01-13,2,133,109,156,-0.181
SKU10027,Automotive,2025-01-20,3,124,101,146,-0.181
SKU10027,Automotive,2025-01-27,4,121,99,142,-0.181
SKU10027,Automotive,2025-02-03,5,114,93,134,-0.181
SKU10027,Automotive,2025-02-10,6,112,91,132,-0.181
SKU10027,Automotive,2025-02-17,7,117,95,138,-0.181
SKU10027,Automotive,2025-02-24,8,105,86,123,-0.181
SKU10027,Automotive,2025-03-03,9,143,117,168,-0.181
SKU10027,Automotive,2025-03-10,10,126,103,148,-0.181
SKU10027,Automotive,2025-03-17,11,117,95,138,-0.181
SKU10027,Automotive,2025-03-24,12,121,99,142,-0.181
SKU10028,Electronics,2025-01-06,1,1042,854,1229,5.478
SKU10028,Electronics,2025-01-13,2,1028,842,1213,5.478
SKU10028,Electronics,2025-01-20,3,1168,957,1378,5.478
SKU10028,Electronics,2025-01-27,4,1070,877,1262,5.478
SKU10028,Electronics,2025-02-03,5,1002,821,1182,5.478
SKU10028,Electronics,2025-02-10,6,1092,895,1288,5.478
SKU10028,Electronics,2025-02-17,7,999,819,1178,5.478
SKU10028,Electronics,2025-02-24,8,1026,841,1210,5.478
SKU10028,Electronics,2025-03-03,9,918,752,1083,5.478
SKU10028,Electronics,2025-03-10,10,1060,869,1250,5.478
SKU10028,Electronics,2025-03-17,11,1057,866,1247,5.478
SKU10028,Electronics,2025-03-24,12,1140,934,1345,5.478
SKU10029,Industrial,2025-01-06,1,294,241,346,0.136
SKU10029,Industrial,2025-01-13,2,289,236,341,0.136
SKU10029,Industrial,2025-01-20,3,300,245,354,0.136
SKU10029,Industrial,2025-01-27,4,300,245,354,0.136
SKU10029,Industrial,2025-02-03,5,332,272,391,0.136
SKU10029,Industrial,2025-02-10,6,309,253,364,0.136
SKU10029,Industrial,2025-02-17,7,313,256,369,0.136
SKU10029,Industrial,2025-02-24,8,316,259,372,0.136
SKU10029,Industrial,2025-03-03,9,313,256,369,0.136
SKU10029,Industrial,2025-03-10,10,313,256,369,0.136
SKU10029,Industrial,2025-03-17,11,338,277,398,0.136
SKU10029,Industrial,2025-03-24,12,340,278,401,0.136
SKU10030,Grocery,2025-01-06,1,48,39,56,-1.175
SKU10030,Grocery,2025-01-13,2,43,35,50,-1.175
SKU10030,Grocery,2025-01-20,3,41,33,48,-1.175
SKU10030,Grocery,2025-01-27,4,45,36,53,-1.175
SKU10030,Grocery,2025-02-03,5,38,31,44,-1.175
SKU10030,Grocery,2025-02-10,6,38,31,44,-1.175
SKU10030,Grocery,2025-02-17,7,38,31,44,-1.175
SKU10030,Grocery,2025-02-24,8,36,29,42,-1.175
SKU10030,Grocery,2025-03-03,9,36,29,42,-1.175
SKU10030,Grocery,2025-03-10,10,34,27,40,-1.175
SKU10030,Grocery,2025-03-17,11,34,27,40,-1.175
SKU10030,Grocery,2025-03-24,12,32,26,37,-1.175
SKU10031,Electronics,2025-01-06,1,1636,1341,1930,9.567
SKU10031,Electronics,2025-01-13,2,1756,1439,2072,9.567
SKU10031,Electronics,2025-01-20,3,1784,1462,2105,9.567
SKU10031,Electronics,2025-01-27,4,1710,1402,2017,9.567
SKU10031,Electronics,2025-02-03,5,1665,1365,1964,9.567
SKU10031,Electronics,2025-02-10,6,1623,1330,1915,9.567
SKU10031,Electronics,2025-02-17,7,1531,1255,1806,9.567
SKU10031,Electronics,2025-02-24,8,1601,1312,1889,9.567
SKU10031,Electronics,2025-03-03,9,1681,1378,1983,9.567
SKU10031,Electronics,2025-03-10,10,1825,1496,2153,9.567
SKU10031,Electronics,2025-03-17,11,1712,1403,2020,9.567
SKU10031,Electronics,2025-03-24,12,1749,1434,2063,9.567
SKU10032,Grocery,2025-01-06,1,1227,1006,1447,5.61
SKU10032,Grocery,2025-01-13,2,1306,1070,1541,5.61
SKU10032,Grocery,2025-01-20,3,1280,1049,1510,5.61
SKU10032,Grocery,2025-01-27,4,1219,999,1438,5.61
SKU10032,Grocery,2025-02-03,5,1227,1006,1447,5.61
SKU10032,Grocery,2025-02-10,6,1217,997,1436,5.61
SKU10032,Grocery,2025-02-17,7,1149,942,1355,5.61
SKU10032,Grocery,2025-02-24,8,1258,1031,1484,5.61
SKU10032,Grocery,2025-03-03,9,1386,1136,1635,5.61
SKU10032,Grocery,2025-03-10,10,1262,1034,1489,5.61
SKU10032,Grocery,2025-03-17,11,1266,1038,1493,5.61
SKU10032,Grocery,2025-03-24,12,1312,1075,1548,5.61
SKU10033,Automotive,2025-01-06,1,1635,1340,1929,9.559
SKU10033,Automotive,2025-01-13,2,1559,1278,1839,9.559
SKU10033,Automotive,2025-01-20,3,1639,1343,1934,9.559
SKU10033,Automotive,2025-01-27,4,1558,1277,1838,9.559
SKU10033,Automotive,2025-02-03,5,1530,1254,1805,9.559
SKU10033,Automotive,2025-02-10,6,1491,1222,1759,9.559
SKU10033,Automotive,2025-02-17,7,1309,1073,1544,9.559
SKU10033,Automotive,2025-02-24,8,1638,1343,1932,9.559
SKU10033,Automotive,2025-03-03,9,1504,1233,1774,9.559
SKU10033,Automotive,2025-03-10,10,1688,1384,1991,9.559
SKU10033,Automotive,2025-03-17,11,1721,1411,2030,9.559
SKU10033,Automotive,2025-03-24,12,1668,1367,1968,9.559
SKU10034,Electronics,2025-01-06,1,1755,1439,2070,8.663
SKU10034,Electronics,2025-01-13,2,1758,1441,2074,8.663
SKU10034,Electronics,2025-01-20,3,1884,1544,2223,8.663
SKU10034,Electronics,2025-01-27,4,1728,1416,2039,8.663
SKU10034,Electronics,2025-02-03,5,1862,1526,2197,8.663
SKU10034,Electronics,2025-02-10,6,1740,1426,2053,8.663
SKU10034,Electronics,2025-02-17,7,1721,1411,2030,8.663
SKU10034,Electronics,2025-02-24,8,1760,1443,2076,8.663
SKU10034,Electronics,2025-03-03,9,1795,1471,2118,8.663
SKU10034,Electronics,2025-03-10,10,1833,1503,2162,8.663
SKU10034,Electronics,2025-03-17,11,1882,1543,2220,8.663
SKU10034,Electronics,2025-03-24,12,1792,1469,2114,8.663
SKU10035,Industrial,2025-01-06,1,160,131,188,0.222
SKU10035,Industrial,2025-01-13,2,149,122,175,0.222
SKU10035,Industrial,2025-01-20,3,166,136,195,0.222
SKU10035,Industrial,2025-01-27,4,174,142,205,0.222
SKU10035,Industrial,2025-02-03,5,165,135,194,0.222
SKU10035,Industrial,2025-02-10,6,178,145,210,0.222
SKU10035,Industrial,2025-02-17,7,170,139,200,0.222
SKU10035,Industrial,2025-02-24,8,165,135,194,0.222
SKU10035,Industrial,2025-03-03,9,164,134,193,0.222
SKU10035,Industrial,2025-03-10,10,175,143,206,0.222
SKU10035,Industrial,2025-03-17,11,177,145,208,0.222
SKU10035,Industrial,2025-03-24,12,171,140,201,0.222
SKU10036,Healthcare,2025-01-06,1,1965,1611,2318,9.135
SKU10036,Healthcare,2025-01-13,2,2126,1743,2508,9.135
SKU10036,Healthcare,2025-01-20,3,1914,1569,2258,9.135
SKU10036,Healthcare,2025-01-27,4,2045,1676,2413,9.135
SKU10036,Healthcare,2025-02-03,5,1902,1559,2244,9.135
SKU10036,Healthcare,2025-02-10,6,1866,1530,2201,9.135
